Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Side collision,"{'Visibility': 'Day', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.0040321331,0.2705424642036352,Visibility=Day(Score:0.0070); Equipment Type=Cut of cars(Score:0.0011)
A,Head on collision,"{'Equipment Type': 'Light loco(s)', 'First Car Position': '1.0'}",0.0360627667120196,0.0071770668000000004,0.2655146314814058,Equipment Type=Light loco(s)(Score:0.0029); First Car Position(Score:0.0115)
A,Other (describe in narrative),"{'First Car Position': '1.0', 'Equipment Type': 'Single Car'}",0.0325664124746291,0.00724637935,0.2642411889489674,First Car Position(Score:0.0115); Equipment Type=Single Car(Score:0.0030)
A,Fire/violent rupture,"{'First Car Position': '1.0', 'Equipment Type': 'Single Car'}",0.032299367211858,0.00724637935,0.26397176960152874,First Car Position(Score:0.0115); Equipment Type=Single Car(Score:0.0030)
A,Obstruction,"{'Passengers Transported': 'Yes', 'Visibility': 'Day'}",0.1443192882263658,0.00349077675,0.2548580360736174,Passengers Transported=Yes(Score:0.0000); Visibility=Day(Score:0.0070)
A,Raking collision,"{'First Car Position': '1.0', 'Equipment Type': 'Cut of cars'}",0.0433754936982412,0.0062882163500000005,0.24398758366435372,First Car Position(Score:0.0115); Equipment Type=Cut of cars(Score:0.0011)
A,Side collision,"{'Track Class': '1', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.00292228385,0.23445095355314466,Track Class=1(Score:0.0048); Equipment Type=Cut of cars(Score:0.0011)
A,Side collision,"{'Passengers Transported': 'No', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.00285944685,0.23240753886890275,Passengers Transported=No(Score:0.0046); Equipment Type=Cut of cars(Score:0.0011)
A,Side collision,"{'Train Speed': '0.0', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.00245482645,0.2192495703646165,Train Speed(Score:0.0038); Equipment Type=Cut of cars(Score:0.0011)
A,Obstruction,"{'Passengers Transported': 'Yes', 'Class': '1L'}",0.1441520922684355,0.00224731465,0.21425284791910454,Passengers Transported=Yes(Score:0.0000); Class=1L(Score:0.0045)
A,Broken train collision,"{'First Car Position': '1.0', 'Equipment Type': 'Cut of cars'}",0.0129539580888714,0.0062882163500000005,0.21329559464755377,First Car Position(Score:0.0115); Equipment Type=Cut of cars(Score:0.0011)
A,Obstruction,"{'Track Class': '4', 'Passengers Transported': 'Yes'}",0.1476883537599266,0.0018452966,0.2047472055400451,Track Class=4(Score:0.0037); Passengers Transported=Yes(Score:0.0000)
